productId;description;category;energy;beverage;predictid
2599;Applesauce Cake;Cakes and pies;156.3;false;237
2600;Baby Back Rib;Pork;291;false;206
2601;Bacon and Eggs;Bacon;337;false;118
2602;Baked Alaska;Ice cream and frozen dairy desserts;210;false;173
2603;Barbecued Wing;Poultry mixed dishes;328;false;215
2447;Tiramisu;Cakes and pies;354;false;5
2393;Taco or tostada with chicken;Burritos and tacos;255;false;6
2604;Beef Bourguignonne;Beef, excludes ground;179.5;false;241
827;Dumpling, meat-filled;Turnovers and other grain-based items;358;false;8
2605;Beef Carpaccio;Beef, excludes ground;157;false;114
1408;Knish, cheese;Turnovers and other grain-based items;342;false;10
2606;Beef Tartare;Beef, excludes ground;230;false;18
724;Couscous, plain, cooked;Pasta, noodles, cooked grains;111;false;12
2607;Beet Salad;Salads;86;false;82
2312;Stuffed cabbage rolls with beef and rice;Meat mixed dishes;112;false;14
2171;Seaweed soup;Soups;35;false;15
90;Beef chow mein or chop suey with noodles;Fried rice and lo/chow mein;129;false;16
2608;Beignet;Doughnuts, sweet rolls, pastries;189.8;false;1
2609;Blancmange;Pudding;203.3;false;149
2610;Bubble and Squeak;Mixed Dishes;176;false;58
2611;Buffalo Wing;Poultry mixed dishes;295.2;false;249
287;Cake or cupcake, peanut butter;Cakes and pies;414;false;21
2612;Cannoli;Doughnuts, sweet rolls, pastries;344;false;19
1737;Pad Thai;Fried rice and lo/chow mein;154;false;23
2613;Caprese Salad;Salads;111.9;false;60
2614;Carbonnade Flamande;Meat mixed dishes;139.7;false;231
2615;Chicken Marengo;Poultry mixed dishes;168.6;false;222
147;Bibimbap, Korean;Rice mixed dishes;80;false;27
480;Chicken kiev;Poultry mixed dishes;277;false;28
1858;Pie, apple, fried pie;Cakes and pies;316;false;29
2616;Chicken Provencale;Poultry mixed dishes;172;false;228
2617;Chiffon Cake;Cakes and pies;173.5;false;219
90;Beef chow mein or chop suey with noodles;Fried rice and lo/chow mein;129;false;32
2618;Chocolate Mousse;Doughnuts, sweet rolls, pastries;304.3;false;172
842;Egg omelet or scrambled egg;Eggs and omelets;184;false;34
2619;Club Sandwich;Other sandwiches (single code);259;false;51
2620;Cockle Food;Shellfish;86;false;3
2352;Sushi;Egg rolls, dumplings, sushi;93;false;37
2621;Coffee Cake;Cakes and pies;165.1;false;119
4;Air filled fritter or fried puff;Doughnuts, sweet rolls, pastries;435;false;39
1644;Nachos with cheese;Nachos;343;false;40
118;Beef stroganoff;Meat mixed dishes;150;false;41
121;Beef wellington;Meat mixed dishes;368;false;42
2622;Compote;Soft drinks;43.6;true;90
2623;Confit;Poultry mixed dishes;334.5;false;175
750;Crayfish, boiled or steamed;Shellfish;81;false;45
2624;Coq Au Vin;Poultry mixed dishes;120.1;false;77
2;Adobo, with noodles;Poultry mixed dishes;172;false;47
2625;Coquilles Saint Jacques;Seafood mixed dishes;69;false;212
864;Egg, deviled;Eggs and omelets;198;false;49
2626;Cottage Pie;Cakes and pies;383.5;false;111
2627;Croque Madame;Other sandwiches (single code);236.4;false;112
305;Cake, carrot, diet;Cakes and pies;412;false;52
911;Falafel;Bean, pea, legume dishes;509;false;53
2628;Croquette;Vegetable dishes;213;false;11
2629;Cruller;Doughnuts, sweet rolls, pastries;295;false;2
867;Egg, whole, boiled or poached ;Eggs and omelets;143;false;56
1047;Gnocchi, cheese;Pasta mixed dishes, excludes macaroni and cheese;178;false;57
2630;Dolmas;Meat mixed dishes;117;false;211
848;Egg roll, meatless;Egg rolls, dumplings, sushi;269;false;59
2631;Eccles Cake;Cakes and pies;460.3;false;247
2137;Sauerkraut;Olives, pickles, pickled vegetables;39;false;61
761;Creme brulee;Pudding;110;false;62
2632;Entrecote;Beef, excludes ground;203;false;230
2633;Escargot;Seafood mixed dishes;380;false;50
2150;Scallops, coated, fried;Shellfish;211;false;65
2634;Farfalle;Pasta, noodles, cooked grains;350;false;54
2635;Fettuccine;Pasta, noodles, cooked grains;352;false;142
306;Cake, chocolate, with icing, diet;Cakes and pies;409;false;68
2636;Filet Mignon;Beef, excludes ground;172;false;163
2637;Fish and Chips;Seafood mixed dishes;185.7;false;97
2638;Foie Gras;Poultry mixed dishes;192;false;20
27;Applesauce, regular;Apples;68;false;72
54;Baklava;Cakes and pies;413;false;73
